"id","o1","o2","o3","t1","t2","t3"
553,0,0,0,"media","media","media"
1897,8,7,1,"alta","alta","baja"
1947,0,0,0,"media","alta","media"
2283,3,1,3,"media","media","alta"
1549,10,10,10,"media","media","alta"
933,1,0,4,"baja","baja","media"
725,0,0,0,"baja","alta","media"
45,0,0,0,"media","baja","media"
2128,14,14,2,"media","alta","baja"
613,0,0,1,"baja","baja","media"
2459,0,1,1,"baja","alta","media"
730,1,1,1,"media","media","media"
741,3,1,4,"media","media","alta"
1566,2,0,2,"alta","baja","media"
214,1,5,6,"baja","alta","media"
388,1,2,0,"media","alta","baja"
1620,1,0,1,"media","alta","alta"
1828,8,8,7,"alta","media","media"
321,9,9,10,"alta","alta","alta"
509,2,0,1,"alta","baja","media"
1912,0,0,0,"media","baja","baja"
1129,9,2,7,"media","baja","media"
139,0,4,4,"baja","media","media"
1773,27,4,33,"alta","baja","alta"
1632,1,6,0,"baja","media","baja"
1073,4,11,10,"baja","media","alta"
248,0,0,0,"media","baja","alta"
1572,10,11,15,"media","alta","alta"
629,9,1,10,"alta","baja","alta"
836,0,0,0,"baja","media","media"
1353,0,0,0,"media","media","media"
120,0,0,0,"alta","media","alta"
1790,28,3,4,"media","baja","baja"
680,3,2,2,"alta","media","media"
267,3,4,3,"media","alta","media"
1774,3,19,24,"baja","media","alta"
2268,0,0,0,"baja","alta","alta"
1015,0,0,0,"media","alta","media"
761,0,0,0,"alta","media","baja"
1978,1,3,7,"baja","media","alta"
1796,6,4,4,"alta","media","media"
327,8,6,8,"alta","alta","media"
1149,0,0,1,"alta","alta","media"
2302,0,0,0,"baja","alta","alta"
1665,1,0,0,"alta","baja","baja"
1154,0,0,0,"alta","alta","media"
2473,1,3,0,"baja","media","baja"
1036,0,1,1,"baja","media","alta"
846,0,1,1,"media","media","alta"
1215,1,1,2,"baja","baja","media"
2471,0,8,5,"baja","alta","alta"
2213,0,1,0,"baja","media","baja"
80,13,10,0,"alta","alta","baja"
1846,10,3,9,"alta","baja","alta"
1443,1,1,2,"alta","baja","alta"
1629,2,1,2,"alta","baja","alta"
54,0,0,0,"media","media","alta"
159,3,3,0,"media","alta","baja"
1255,0,0,0,"baja","media","alta"
2318,0,0,0,"alta","media","alta"
1107,0,0,0,"baja","alta","baja"
425,3,2,5,"media","alta","alta"
1955,0,0,0,"alta","media","alta"
1633,19,17,15,"baja","baja","baja"
1816,0,0,0,"alta","baja","alta"
1863,0,0,0,"baja","alta","media"
1364,0,0,0,"alta","media","alta"
1146,0,0,0,"baja","media","media"
364,0,0,0,"baja","baja","alta"
1062,0,0,0,"alta","media","media"
2043,0,2,0,"baja","alta","baja"
1545,6,4,5,"baja","baja","baja"
201,0,0,0,"media","baja","baja"
1253,0,0,0,"media","media","alta"
2357,0,0,0,"media","media","baja"
1870,0,0,0,"baja","media","media"
1214,2,0,1,"media","baja","alta"
1613,0,0,0,"baja","alta","baja"
2066,0,0,0,"alta","baja","baja"
2118,0,0,0,"alta","alta","baja"
705,0,0,0,"alta","baja","baja"
2078,18,1,13,"alta","baja","media"
659,0,0,0,"baja","media","alta"
2160,2,2,2,"media","media","alta"
1441,0,4,1,"baja","alta","baja"
1416,0,0,0,"baja","media","baja"
530,4,0,3,"alta","baja","alta"
885,4,2,5,"alta","baja","alta"
2016,0,0,0,"baja","media","media"
917,0,0,0,"media","media","baja"
1252,0,0,0,"baja","alta","baja"
410,0,0,0,"baja","baja","alta"
420,0,0,0,"alta","alta","baja"
198,0,0,0,"alta","media","baja"
2024,5,8,7,"media","alta","media"
2253,0,0,0,"media","media","baja"
125,9,10,2,"media","alta","baja"
1723,12,10,10,"media","media","media"
1403,0,0,0,"alta","baja","media"
1990,4,0,0,"media","baja","baja"
